baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	TAIR	SYMBOL	GENENAME
28.5456941758538	-2.58232156115238	0.733025110517079	-3.52282824162845	0.000426967965385684	0.0453719966870977	AT3G02240	GLV4; RGF7	Encodes a root meristem growth factor (RGF).  Belongs to a family of functionally redundant homologous peptides that are secreted, tyrosine-sulfated, and expressed mainly in the stem cell area and the innermost layer of central columella cells. RGFs are required for maintenance of the root stem cell niche and transit amplifying cell proliferation.  Members of this family include: At5g60810 (RGF1), At1g13620 (RGF2), At2g04025 (RGF3), At3g30350 (RGF4), At5g51451 (RGF5), At4g16515 (RGF6), At3g02240 (RGF7), At2g03830 (RGF8) and At5g64770 (RGF9).
1716.2366237906	1.19651550278847	0.339983247275229	3.51933665078459	0.000432627356906021	0.0453719966870977	AT3G27540	NA	NA
1663.00773131979	1.16965896343649	0.332415099744716	3.5186697726269	0.000433716209432134	0.0453719966870977	AT4G01870	NA	NA
673.347520590818	-1.14621712862678	0.326268641680191	-3.51310847013701	0.000442896627567773	0.0454965560668994	AT5G46900	NA	NA
40.0200079694877	2.14908891736074	0.613471437534875	3.50316051550251	0.000459772310481201	0.0466651120951702	AT3G51810	AT3; ATEM1; EM1; GEA1	Encodes a ABA-inducible protein that accumulates during seed maturation, in parallel with its corresponding mRNA but with a 3 d delay. During germination, AtEm1 protein undergoes two successive cleavages before being degraded. Both proteins are more stable than the corresponding mRNA.  The gene can be activated by the basic leucine zipper transcription factor ABI5. Expressed predominantly in provascular tissues with the strongest expression in the root tip.
142.370205669298	-1.06216999738096	0.30327838588643	-3.50229375653139	0.000461270745496334	0.0466651120951702	AT2G47360	NA	NA
252.680826890341	1.10888735127785	0.317154932956488	3.49635851771532	0.00047165453606276	0.0472689875288263	AT2G33110	ATVAMP723; VAMP723	member of VAMP72 Gene Family
85.984882623561	1.40238508250906	0.40125673705712	3.49498202271786	0.000474093686761463	0.0472827902646323	AT1G30190	NA	NA
1025.30516918336	-1.05864280865325	0.3032903446726	-3.49052591765179	0.000482070852079771	0.0478461142800913	AT3G55230	NA	NA
32.0105162662343	-2.86084454634663	0.821458663810854	-3.48263969007862	0.00049649611306424	0.0490409261678115	AT2G40250	NA	NA
52.0390850034082	-1.38806061147263	0.399108365375339	-3.4779040779244	0.000505350730947539	0.0493726630679498	AT5G11570	NPF1.3	NA
